FacilityPK,FacilityName,FacilityTypeDesc,FacilityBuildingNo,FacilityStreetName,FacilityAptNo,FacilityCity,FacilityState,FacilityZipcode,Latitude,Longitude,FacilityPhone,ContactPhone,ContactPhoneExt,ContactName,AdditionalInfo,PricingDesc1,PricingDesc2,PricingDesc3,PricingDesc4,PricingDesc5
236,SOL'S PHARMACY,Pharmacy,1515,SOUTHERN BLVD,,Bronx,NY,10460,41,-74,(718) 861-5490,,,,,,,,,
250,Total Care Pharmacy,Pharmacy,4531,3rd Ave,,Bronx,NY,10458,41,-74,(718) 933-9900,,,,,,,,,
484,Three-P Drugs,Pharmacy,791,Flushing Avenue,,Brooklyn,NY,11206,41,-74,(718) 302-4850,,,,,,,,,
1205,Hamilton Pharmacy,Pharmacy,3293,BROADWAY,,Manhattan,NY,10027,41,-74,(212) 281-0488,,,,,,,,,
1221,Grove Drugs,Pharmacy,302,W 12TH ST.,,Manhattan,NY,10014,41,-74,(212) 929-7527,,,,,,,,,
1253,Madison Avenue Pharmacy,Pharmacy,1407,MADISON AVE,,Manhattan,NY,10029,41,-74,(212) 722-3200,,,,,,,,,
1314,Century Pharmacy,Pharmacy,225,MADISON STREET,,Manhattan,NY,10002,41,-74,(212)227-5227,(212) 227-5227,,Richard Cheng,,,,,,
1553,Belle Harbor Chemists,Pharmacy,412,Beach 129TH Street,,Queens,NY,11694,41,-74,(718) 634-0001,,,,,,,,,
1725,Harpell Chemists,Pharmacy,12-65           , 150th Street,,Queens,NY,11357,41,-74,(718) 767-7868,(718) 767-7868,,,,,,,,
1728,Healthmax Pharmacy,Pharmacy,80-07,Jamaica Avenue,,Queens,NY,11421,41,-74,(718) 296-0400,(718) 296-0400,,Gary Stavin,,,,,,
1773,Horizon Pharmacy III,Pharmacy,81-14,Broadway,,Queens,NY,11373,41,-74,(718) 803-1188,,,,,$24.99 for Flu Shot,$74.99 for Pneumonia Shot,,,
1807,Morami Pharmacy,Pharmacy,144-73,Northern Boulavard,,Queens,NY,11354,41,-74,(718) 886-9100,,,,,,,,,
1817,NY Northern Pharmacy,Pharmacy,164-16          ,NORTHERN BOULEVARD,,Queens,NY,11358,41,-74,(718) 445-2470,,,,,,,,,
1983,XIP Harpell Pharmacy,Pharmacy,21-34, BROADWAY,,Queens,NY,11106,41,-74,(718) 204-6565,,,,,,,,,
4765,Rite Aid Pharmacy,Pharmacy,2833,Broadway,,Manhattan,NY,10025,41,-74,(212) 663-3135,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4768,Rite Aid Pharmacy,Pharmacy,3823,Nostrand Avenue,,Brooklyn,NY,11235,41,-74,(718) 743-8933,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4769,Rite Aid Pharmacy,Pharmacy,741,Columbus Avenue,,Manhattan,NY,10025,41,-74,(212) 316-0436,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4770,Rite Aid Pharmacy,Pharmacy,691,CO-OP CITY BOULEVARD,,Bronx,NY,10475,41,-74,(718) 862-2847,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4772,Rite Aid Pharmacy,Pharmacy,2712,Broadway,,Manhattan,NY,10025,41,-74,(212) 665-6200,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4786,Rite Aid Pharmacy,Pharmacy,4046,Broadway,,Manhattan,NY,10032,41,-74,(212) 928-2550,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4788,Rite Aid Pharmacy,Pharmacy,650,Castle Hill Avenue,,Bronx,NY,10473,41,-74,(718) 863-6304,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4789,Kmart Pharmacy #7777,Pharmacy,770,Broadway,,Manhattan,NY,10003,41,-74,(212) 253-9661,,,,,,,,,
4790,Kmart Pharmacy #9420,Pharmacy,1998,Bruckner Blvd,,Bronx,NY,10473,41,-74,(718) 430-9513,,,,,,,,,
4792,Kmart Pharmacy #9419,Pharmacy,66-26,Metropolitan Avenue,,Queens,NY,11379,41,-74,(718) 386-0989,,,,,,,,,
4793,Kmart Pharmacy #7749,Pharmacy,250,West 34th Street,,Manhattan,NY,10001,41,-74,(212) 760-1242,,,,,,,,,
4806,Avenue C Pharmacy,Pharmacy,178,Avenue C,,Manhattan,NY,10009,41,-74,(212) 228-0764,(212) 228-0764,,,,,,,,
4807,Long Island City Chemists,Pharmacy,30-12,36th Avenue,,Queens,NY,11106,41,-74,(718) 392-8049,,,,,,,,,
4813,Rite Aid Pharmacy,Pharmacy,534,Hudson Street,,Manhattan,NY,10014,41,-74,(646) 486-1048,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4815,Rite Aid Pharmacy,Pharmacy,47-07,Broadway,,Queens,NY,11103,41,-74,(718) 726-0801,,,,,$39.99 for flumist,$33.99 for Intradermal,$74.99 for Pneumonia Shot,$29.99 for Flu shot,
4819,Fuller Drugs,Pharmacy,2688,Third Ave,,Bronx,NY,10454,41,-74,(718) 292-4244,,,,,,,,,
4820,Stellas Pharmacy,Pharmacy,8722,Glenwood Road,,Brooklyn,NY,11236,41,-74,(718) 272-8450,,,,,,,,,
4822,Rite Aid Pharmacy,Pharmacy,58-01,Queens Boulevard,,Queens,NY,11377,41,-74,(718) 779-6431,,,,,$39.99 for flumist,$33.99 for Intradermal,$74.99 for Pneumonia Shot,$29.99 for Flu shot,
4831,Gristedes Pharmacy #544,Pharmacy,101             ,Clark Street,,Brooklyn,NY,11201,41,-74,(718) 834-9003,,,,,,,,,
4857,Walgreens Drug Store,Pharmacy,3575,Boston Road,,Bronx,NY,10469,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
4865,Saldo Drugs,Pharmacy,384             ,Graham Avenue,,Brooklyn,NY,11211,41,-74,(718) 389-8015,,,,,$30.00 for Flu Shot,,,,
4934,Rite Aid Pharmacy,Pharmacy,                ,Grand Central Terminal,,Manhattan,NY,10017,41,-74,(212) 972-8052,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4940,Rite Aid Pharmacy,Pharmacy,462,Fifth Avenue,,Brooklyn,NY,11215,41,-74,(718) 499-7500,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4941,Rite Aid Pharmacy,Pharmacy,6201,Fourth Avenue,,Brooklyn,NY,11220,41,-74,(718) 567-9476,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4942,Rite Aid Pharmacy,Pharmacy,4389,White Plains Road,,Bronx,NY,10466,41,-74,(718) 324-5386,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4943,Rite Aid Pharmacy,Pharmacy,506,Utica Avenue,,Brooklyn,NY,11203,41,-74,(718) 604-1323,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4944,Rite Aid Pharmacy,Pharmacy,249,7th Avenue,,Brooklyn,NY,11215,41,-74,(718) 768-9567,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4945,Rite Aid Pharmacy,Pharmacy,2426,Eastchester Road,,Bronx,NY,10469,41,-74,(718) 653-3047,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4946,Rite Aid Pharmacy,Pharmacy,355,Knickerbocker Avenue,,Brooklyn,NY,11237,41,-74,(718) 821-2678,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4947,Rite Aid Pharmacy,Pharmacy,537,East 138th Street,,Bronx,NY,10454,41,-74,(718) 402-5550,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4948,Rite Aid Pharmacy,Pharmacy,650,East Tremont Avenue,,Bronx,NY,10457,41,-74,(718) 466-0266,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4949,Rite Aid Pharmacy,Pharmacy,3001,Mermaid Avenue,,Brooklyn,NY,11224,41,-74,(718) 373-2818,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4950,Rite Aid Pharmacy,Pharmacy,302,Church Avenue,,Brooklyn,NY,11218,41,-74,(718) 437-7765,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4951,Rite Aid Pharmacy,Pharmacy,5102,13th Avenue,,Brooklyn,NY,11219,41,-74,(718) 435-5684,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4952,Rite Aid Pharmacy,Pharmacy,1998,Bruckner Blvd,,Bronx,NY,10473,41,-74,(718) 239-4428,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4953,Rite Aid Pharmacy,Pharmacy,99,Avenue D,,Manhattan,NY,10009,41,-74,(212) 475-5315,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4954,Rite Aid Pharmacy,Pharmacy,3480,JEROME AVE,,Bronx,NY,10467,41,-74,(718) 231-2609,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4955,Rite Aid Pharmacy,Pharmacy,546,West 207th Street,,Manhattan,NY,10034,41,-74,(212) 942-1883,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4956,Rite Aid Pharmacy,Pharmacy,1154,Clarkson Avenue,,Brooklyn,NY,11212,41,-74,(718) 345-6355,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4957,Rite Aid Pharmacy,Pharmacy,1631,Pitkin Ave,,Brooklyn,NY,11212,41,-74,(718) 498-9530,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
4958,Rite Aid Pharmacy,Pharmacy,210,Amsterdam Ave,,Manhattan,NY,10023,41,-74,(212) 787-2903,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
